version,n_puntos,n_clusters,tiempo_ms
KDTreeOpt,1000,15,6.6376
KDTreeOpt,1150,15,9.8105
KDTreeOpt,1300,15,13.9915
KDTreeOpt,1450,15,12.2007
KDTreeOpt,1600,15,17.0654
KDTreeOpt,1750,15,19.7475
KDTreeOpt,1900,15,14.3662
KDTreeOpt,2050,15,11.8250
KDTreeOpt,2200,15,42.5800
KDTreeOpt,2400,15,20.4792
KDMeansFB,1000,15,3.5971
KDMeansFB,1150,15,7.4654
KDMeansFB,1300,15,7.7608
KDMeansFB,1450,15,3.4545
KDMeansFB,1600,15,6.9869
KDMeansFB,1750,15,12.0385
KDMeansFB,1900,15,7.7570
KDMeansFB,2050,15,11.6662
KDMeansFB,2200,15,18.8503
KDMeansFB,2400,15,15.0688
