version,n_puntos,n_clusters,tiempo_ms
KDTreeOpt,1000,50,10.5195
KDTreeOpt,1150,50,10.7773
KDTreeOpt,1300,50,13.3032
KDTreeOpt,1450,50,16.6504
KDTreeOpt,1600,50,27.3192
KDTreeOpt,1750,50,21.4043
KDTreeOpt,1900,50,16.7545
KDTreeOpt,2050,50,23.0140
KDTreeOpt,2200,50,32.9936
KDTreeOpt,2400,50,33.2110
KDMeansFB,1000,50,22.6550
KDMeansFB,1150,50,9.1037
KDMeansFB,1300,50,28.7518
KDMeansFB,1450,50,29.6521
KDMeansFB,1600,50,20.1953
KDMeansFB,1750,50,30.1593
KDMeansFB,1900,50,27.4515
KDMeansFB,2050,50,33.3496
KDMeansFB,2200,50,33.6786
KDMeansFB,2400,50,35.2296
