version,n_puntos,n_clusters,tiempo_ms
KDTreeOpt,1000,25,9.1341
KDTreeOpt,1150,25,18.9321
KDTreeOpt,1300,25,16.2450
KDTreeOpt,1450,25,8.2418
KDTreeOpt,1600,25,23.6529
KDTreeOpt,1750,25,14.0120
KDTreeOpt,1900,25,17.3443
KDTreeOpt,2050,25,23.1085
KDTreeOpt,2200,25,18.4643
KDTreeOpt,2400,25,25.1961
KDMeansFB,1000,25,18.4549
KDMeansFB,1150,25,9.6109
KDMeansFB,1300,25,11.8500
KDMeansFB,1450,25,13.0830
KDMeansFB,1600,25,7.6250
KDMeansFB,1750,25,13.5170
KDMeansFB,1900,25,10.5760
KDMeansFB,2050,25,26.6704
KDMeansFB,2200,25,17.7060
KDMeansFB,2400,25,28.8959
