version,n_puntos,n_clusters,tiempo_ms
KDTreeOpt,1450,5,4.9271
KDTreeOpt,1450,15,10.5564
KDTreeOpt,1450,25,6.7803
KDTreeOpt,1450,50,15.9099
KDTreeOpt,1450,75,13.3363
KDTreeOpt,1450,100,16.2012
KDTreeOpt,1450,125,16.9458
KDTreeOpt,1450,150,19.5136
KDTreeOpt,1450,200,19.9737
KDMeansFB,1450,5,1.4292
KDMeansFB,1450,15,3.4735
KDMeansFB,1450,25,10.7522
KDMeansFB,1450,50,28.5355
KDMeansFB,1450,75,28.1023
KDMeansFB,1450,100,33.4664
KDMeansFB,1450,125,49.6472
KDMeansFB,1450,150,61.1728
KDMeansFB,1450,200,79.7904
