version,n_puntos,n_clusters,tiempo_ms
KDTreeOpt,1000,75,16.5964
KDTreeOpt,1150,75,25.7313
KDTreeOpt,1300,75,12.5351
KDTreeOpt,1450,75,12.9090
KDTreeOpt,1600,75,30.8678
KDTreeOpt,1750,75,15.8493
KDTreeOpt,1900,75,28.3041
KDTreeOpt,2050,75,23.2115
KDTreeOpt,2200,75,50.7771
KDTreeOpt,2400,75,34.8826
KDMeansFB,1000,75,13.9653
KDMeansFB,1150,75,19.0708
KDMeansFB,1300,75,26.5744
KDMeansFB,1450,75,27.2110
KDMeansFB,1600,75,25.9413
KDMeansFB,1750,75,41.6637
KDMeansFB,1900,75,42.7601
KDMeansFB,2050,75,65.8254
KDMeansFB,2200,75,42.4483
KDMeansFB,2400,75,56.3393

