version,n_puntos,n_clusters,tiempo_ms
KDTreeOpt,2400,5,11.1240
KDTreeOpt,2400,15,26.2584
KDTreeOpt,2400,25,19.8237
KDTreeOpt,2400,50,34.3421
KDTreeOpt,2400,75,35.1577
KDTreeOpt,2400,100,41.9664
KDTreeOpt,2400,125,42.7372
KDTreeOpt,2400,150,52.5951
KDTreeOpt,2400,200,35.2236
KDMeansFB,2400,5,2.7537
KDMeansFB,2400,15,11.3861
KDMeansFB,2400,25,29.0416
KDMeansFB,2400,50,38.3923
KDMeansFB,2400,75,55.3340
KDMeansFB,2400,100,75.4438
KDMeansFB,2400,125,66.4095
KDMeansFB,2400,150,125.9863
KDMeansFB,2400,200,125.6120
